cve_ent,pobreza,pobreza_mil,pobreza_m,pobreza_m_mil,pobreza_e,pobreza_e_mil,vul_car,vul_car_mil,vul_ing,vul_ing_mil,no_pobv,no_pbv_mil,carencias,carencias_mil,carencias3,carencias3_mil,ic_rezedu,ic_rezedu_mil,ic_asalud,ic_asalud_mil,ic_segsoc,ic_segsoc_mil,ic_cv,ic_cv_mil,ic_sbv,ic_sbv_mil,ic_ali_nc,ic_ali_nc_mil,plp_e,plp_e_mil,plp,plp_mil,anio
8,26.64278719,980.94,24.1088787,887.646,2.533908483,93.294,27.3916827,1008.513,11.74299029,432.356,34.22253982,1260.013,54.03446989,1989.453,9.684254155,356.557,17.15612542,631.658,11.3050821,416.233,35.69072595,1314.069,6.978365603,256.931,5.01724418,184.726,18.11320591,666.896,8.242305033,303.467,38.38577748,1413.296,2018
9,29.96780648,2755.918,28.31419983,2603.848,1.65360665,152.07,25.17019415,2314.717,8.607703869,791.587,36.2542955,3334.04,55.13800064,5070.635,8.505923385,782.227,9.40727874,865.118,20.05793223,1844.58,43.47973122,3998.51,5.077215068,466.914,2.918196546,268.365,15.15283057,1393.494,6.363868276,585.238,38.57551035,3547.505,2018
10,38.78716663,694.504,36.63699051,656.004,2.150176119,38.5,23.17694386,414.995,12.296941,220.183,25.73894851,460.869,61.96411049,1109.499,9.43631318,168.962,16.34401924,292.648,13.06285049,233.897,44.48379298,796.505,4.778920008,85.569,5.658928453,101.326,18.98192232,339.881,13.12763501,235.057,51.08410763,914.687,2018
11,41.48812891,2519.745,37.91889962,2302.971,3.56922929,216.774,29.35723774,1782.986,7.815359801,474.659,21.33927354,1296.022,70.84536666,4302.731,15.84684194,962.444,22.2406285,1350.765,13.65942241,829.593,54.23460486,3293.891,9.088993139,552.012,11.94682659,725.58,22.07319378,1340.596,10.73169414,651.78,49.30348871,2994.404,2018
12,67.8900185,2378.501,40.96262497,1435.11,26.92739353,943.391,20.18997209,707.348,4.033096406,141.298,7.886913002,276.315,88.07999059,3085.849,48.87262942,1712.234,25.84706213,905.542,13.778885,482.738,74.89703042,2623.989,28.82677192,1009.935,58.62558235,2053.925,38.89198741,1362.566,36.3962275,1275.128,71.92311491,2519.799,2018
13,49.86970881,1517.244,42.84045969,1303.385,7.029249123,213.859,31.38742368,954.936,5.324715621,162,13.41815189,408.236,81.25713249,2472.18,23.75335917,722.676,19.74273078,600.656,14.43277316,439.105,69.73267298,2121.558,9.756456711,296.832,25.62838218,779.722,27.30524031,830.739,14.52694175,441.97,55.19442443,1679.244,2018
14,27.80150282,2285.767,25.50167306,2096.681,2.299829756,189.086,33.97935644,2793.694,8.290630486,681.634,29.92851026,2460.644,61.78085926,5079.461,12.92350682,1062.537,19.34094478,1590.162,19.35105213,1590.993,45.51854541,3742.416,7.076617246,581.821,8.120496163,667.646,15.90429956,1307.61,5.852241235,481.156,36.09213331,2967.401,2018
15,41.77449657,7036.289,37.12245979,6252.723,4.652036773,783.566,26.26832279,4424.506,9.593900414,1615.949,22.36328023,3766.76,68.04281936,11460.795,16.89163965,2845.144,14.71484199,2478.495,19.75368071,3327.212,54.66967562,9208.289,9.648372453,1625.124,10.3306236,1740.039,23.41250372,3943.486,10.78868744,1817.193,51.36839698,8652.238,2018
16,46.21151101,2153.187,40.89576013,1905.504,5.315750876,247.683,32.93255358,1534.465,5.257267165,244.958,15.59866825,726.807,79.14406459,3687.652,24.48694762,1140.949,27.02994817,1259.438,21.19436831,987.534,66.99565632,3121.607,12.6868018,591.131,17.6719963,823.412,22.81225312,1062.918,12.78166346,595.551,51.46877818,2398.145,2018
17,48.54414487,952.857,42.3748527,831.762,6.169292163,121.095,28.81540115,565.608,5.88990492,115.611,16.75054907,328.791,77.35954601,1518.465,22.01580647,432.141,19.32097284,379.245,16.81326346,330.022,64.08065345,1257.818,11.29485594,221.703,19.92957241,391.191,25.63011146,503.085,14.73411087,289.211,54.43404979,1068.468,2018
