no,cve_ent,year,valor,entidad,entidad_abr_m
1045,17,1981,988463,Morelos,MOR
1045,18,1981,746603,Nayarit,NAY
1045,19,1981,2586172,Nuevo León,NL
1045,20,1981,2523769,Oaxaca,OAX
1045,21,1981,3534406,Puebla,PUE
1045,22,1981,782615,Querétaro,QRO
1045,23,1981,249287,Quintana Roo,QROO
1045,24,1981,1749016,San Luis Potosí,SLP
1045,25,1981,1895869,Sinaloa,SIN
1045,26,1981,1559662,Sonora,SON
1045,27,1981,1117006,Tabasco,TAB
1045,28,1981,1979371,Tamaulipas,TAM
1045,29,1981,587512,Tlaxcala,TLAX
1045,30,1981,5593072,Veracruz,VER
1045,31,1981,1117870,Yucatán,YUC
1045,32,1981,1176421,Zacatecas,ZAC
1045,00,1982,71369508,Nacional,Nacional
1045,01,1982,569398,Aguascalientes,AGS
1045,02,1982,1290131,Baja California,BC
1045,03,1982,236180,Baja California Sur,BCS
1045,04,1982,451283,Campeche,CAMP
1045,05,1982,1657869,Coahuila,COAH
1045,06,1982,369574,Colima,COL
1045,07,1982,2367498,Chiapas,CHPS
1045,08,1982,2137707,Chihuahua,CHIH
1045,09,1982,8972564,Ciudad de México,CDMX
1045,10,1982,1240979,Durango,DGO
1045,11,1982,3271308,Guanajuato,GTO
1045,12,1982,2289560,Guerrero,GRO
1045,13,1982,1651621,Hidalgo,HGO
1045,14,1982,4710730,Jalisco,JAL
1045,15,1982,8148649,México,MEX
1045,16,1982,3112862,Michoacán,MICH
1045,17,1982,1015974,Morelos,MOR
1045,18,1982,759467,Nayarit,NAY
1045,19,1982,2655062,Nuevo León,NL
1045,20,1982,2593187,Oaxaca,OAX
1045,21,1982,3624510,Puebla,PUE
1045,22,1982,815689,Querétaro,QRO
1045,23,1982,274878,Quintana Roo,QROO
1045,24,1982,1787883,San Luis Potosí,SLP
1045,25,1982,1938743,Sinaloa,SIN
1045,26,1982,1595932,Sonora,SON
1045,27,1982,1162086,Tabasco,TAB
1045,28,1982,2019043,Tamaulipas,TAM
1045,29,1982,609819,Tlaxcala,TLAX
1045,30,1982,5693487,Veracruz,VER
1045,31,1982,1149896,Yucatán,YUC
1045,32,1982,1195939,Zacatecas,ZAC
1045,00,1983,73034559,Nacional,Nacional
1045,01,1983,590749,Aguascalientes,AGS
1045,02,1983,1341966,Baja California,BC
1045,03,1983,247063,Baja California Sur,BCS
1045,04,1983,463999,Campeche,CAMP
1045,05,1983,1705732,Coahuila,COAH
1045,06,1983,378746,Colima,COL
1045,07,1983,2481446,Chiapas,CHPS
1045,08,1983,2187108,Chihuahua,CHIH
1045,09,1983,8946602,Ciudad de México,CDMX
1045,10,1983,1262337,Durango,DGO
1045,11,1983,3378140,Guanajuato,GTO
1045,12,1983,2347455,Guerrero,GRO
1045,13,1983,1691095,Hidalgo,HGO
1045,14,1983,4819042,Jalisco,JAL
1045,15,1983,8399359,México,MEX
1045,16,1983,3190764,Michoacán,MICH
1045,17,1983,1043746,Morelos,MOR
1045,18,1983,772157,Nayarit,NAY
1045,19,1983,2724437,Nuevo León,NL
1045,20,1983,2664082,Oaxaca,OAX
1045,21,1983,3715399,Puebla,PUE
1045,22,1983,849618,Querétaro,QRO
1045,23,1983,301703,Quintana Roo,QROO
1045,24,1983,1826762,San Luis Potosí,SLP
1045,25,1983,1982044,Sinaloa,SIN
1045,26,1983,1632592,Sonora,SON
1045,27,1983,1208458,Tabasco,TAB
1045,28,1983,2058843,Tamaulipas,TAM
1045,29,1983,632617,Tlaxcala,TLAX
1045,30,1983,5792764,Veracruz,VER
1045,31,1983,1182597,Yucatán,YUC
1045,32,1983,1215137,Zacatecas,ZAC
1045,00,1984,74707346,Nacional,Nacional
1045,01,1984,612513,Aguascalientes,AGS
1045,02,1984,1395314,Baja California,BC
1045,03,1984,258257,Baja California Sur,BCS
1045,04,1984,476948,Campeche,CAMP
1045,05,1984,1754373,Coahuila,COAH
1045,06,1984,387959,Colima,COL
1045,07,1984,2598508,Chiapas,CHPS
1045,08,1984,2237048,Chihuahua,CHIH
1045,09,1984,8909640,Ciudad de México,CDMX
1045,10,1984,1283637,Durango,DGO
1045,11,1984,3486591,Guanajuato,GTO
1045,12,1984,2405665,Guerrero,GRO
1045,13,1984,1730254,Hidalgo,HGO
1045,14,1984,4927889,Jalisco,JAL
1045,15,1984,8655072,México,MEX
1045,16,1984,3269253,Michoacán,MICH
1045,17,1984,1071715,Morelos,MOR
1045,18,1984,784711,Nayarit,NAY
1045,19,1984,2794189,Nuevo León,NL
1045,20,1984,2735826,Oaxaca,OAX
1045,21,1984,3806491,Puebla,PUE
1045,22,1984,884296,Querétaro,QRO
1045,23,1984,329621,Quintana Roo,QROO
1045,24,1984,1865446,San Luis Potosí,SLP
1045,25,1984,2025553,Sinaloa,SIN
1045,26,1984,1669398,Sonora,SON
1045,27,1984,1255886,Tabasco,TAB
1045,28,1984,2098565,Tamaulipas,TAM
1045,29,1984,655748,Tlaxcala,TLAX
1045,30,1984,5891107,Veracruz,VER
1045,31,1984,1215959,Yucatán,YUC
1045,32,1984,1233914,Zacatecas,ZAC
1045,00,1985,76375259,Nacional,Nacional
1045,01,1985,634686,Aguascalientes,AGS
1045,02,1985,1450232,Baja California,BC
